timestamp,id,size,center_x,center_y2022-03-02_19-09-25,0,20039,141.96935974849043,149.12954738260393
2022-03-02_19-09-25,1,13951,112.67815927173679,405.01727474732996
2022-03-02_19-09-25,2,16351,94.30303956944529,585.6068741972967
2022-03-02_19-09-25,3,13891,383.0308113166799,355.2544813188395
2022-03-02_19-09-25,4,21990,414.96098226466574,137.16730331969077
2022-03-02_19-09-25,5,12545,348.98238341968914,563.804942208051
2022-02-22_17-00-43,0,1081,112.43108233117484,166.09158186864016
2022-02-22_17-00-43,1,982,117.82382892057026,412.0936863543788
2022-02-22_17-00-43,2,4253,127.43404655537267,594.728426992711
2022-02-22_17-00-43,3,2932,387.7776261937244,317.10027285129604
2022-02-22_17-00-43,4,3577,400.96002236511043,106.88929270338272
2022-02-22_17-00-43,5,2824,370.5506373937677,543.0368271954674
2022-02-22_17-16-09,0,1005,110.41990049751244,169.53930348258706
2022-02-22_17-16-09,1,957,115.02716823406479,414.2539184952978
2022-02-22_17-16-09,2,3937,123.27178054356109,598.4206248412497
2022-02-22_17-16-09,3,3156,384.62230671736376,320.47845373891
2022-02-22_17-16-09,4,3801,397.86214154169954,110.90055248618785
2022-02-22_17-16-09,5,2821,367.57071960297765,546.5629209500178
2022-02-22_17-31-34,0,1012,107.82509881422925,170.27173913043478
2022-02-22_17-31-34,1,928,112.77586206896552,415.6810344827586
2022-02-22_17-31-34,2,1116,90.91039426523298,569.3091397849462
2022-02-22_17-31-34,3,3012,382.6819389110226,321.1942231075697
2022-02-22_17-31-34,4,1991,410.3922651933702,140.06629834254144
2022-02-22_17-31-34,5,2713,366.0914117213417,546.3269443420568
2022-02-22_17-47-00,0,1024,106.7099609375,170.150390625
2022-02-22_17-47-00,1,951,111.32807570977918,415.5415352260778
2022-02-22_17-47-00,2,3830,118.73394255874673,598.2190600522193
2022-02-22_17-47-00,3,1565,401.5731629392971,333.6492012779553
2022-02-22_17-47-00,4,1979,409.2733703890854,140.69782718544718
2022-02-22_17-47-00,5,2883,363.7183489420742,547.2192160943462
2022-02-22_18-02-25,0,1032,105.93604651162791,170.50968992248062
2022-02-22_18-02-25,1,952,110.64390756302521,415.4201680672269
2022-02-22_18-02-25,2,3827,117.6299973869872,598.5014371570421
2022-02-22_18-02-25,3,3020,380.6175496688742,321.82350993377486
2022-02-22_18-02-25,4,3648,395.03344298245617,112.28481359649123
2022-02-22_18-02-25,5,2848,362.9146769662921,547.2261235955057
2022-02-22_18-17-50,0,1037,105.43105110896818,171.28736740597878
2022-02-22_18-17-50,1,945,110.15767195767195,415.8328042328042
2022-02-22_18-17-50,2,1155,88.61298701298702,570.447619047619
2022-02-22_18-17-50,3,2998,380.3255503669113,322.3795863909273
2022-02-22_18-17-50,4,3605,394.96699029126216,112.94396671289876
2022-02-22_18-17-50,5,2858,362.50174947515745,547.6161651504549
2022-02-22_18-33-16,0,1058,104.89224952741021,171.59735349716445
2022-02-22_18-33-16,1,936,109.83760683760684,416.54273504273505
